TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2023094962434,No Injury,N,,BLACK,MALE,Physical Force,Y
2023095962040,No Injury,N,,BLACK,MALE,Physical Force,Y
2023095962051,No Injury,N,,BLACK,MALE,Physical Force,Y
2023096962035,No Injury,N,,BLACK,MALE,Physical Force,Y
2023097962015,No Injury,N,,BLACK,MALE,Physical Force,Y
2023098962040,No Injury,N,,BLACK,MALE,Physical Force,Y
2023098962096,No Injury,N,,BLACK,MALE,Physical Force,Y
2023098962182,No Injury,N,,BLACK,MALE,Physical Force,Y
2023103962173,No Injury,N,,BLACK,MALE,Physical Force,Y
2023107962018,No Injury,N,,BLACK,MALE,Physical Force,Y
2023119962031,No Injury,N,,BLACK,MALE,Physical Force,Y
2023121962056,No Injury,N,,BLACK,MALE,Physical Force,Y
2023122962020,No Injury,N,,BLACK,MALE,Physical Force,Y
2023122962026,No Injury,N,,BLACK,MALE,Physical Force,Y
2023122962057,No Injury,N,,BLACK,MALE,Physical Force,Y
2023122962174,No Injury,N,,BLACK,MALE,Physical Force,Y
2023122962206,No Injury,N,,BLACK,MALE,Physical Force,Y
2023124962134,No Injury,N,,BLACK,MALE,Physical Force,Y
2023126962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2023129962185,No Injury,N,,BLACK,MALE,Physical Force,Y
2023132962173,No Injury,N,,BLACK,MALE,Physical Force,Y
2023139962124,No Injury,N,,BLACK,MALE,Physical Force,Y
2023139962256,No Injury,N,,BLACK,MALE,Physical Force,Y
2023142962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2024020962031,No Injury,N,,BLACK,MALE,Physical Force,Y
2024032962019,No Injury,N,,BLACK,MALE,Physical Force,Y
2024039962024,No Injury,N,,BLACK,MALE,Physical Force,Y
2024044962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2024047962039,No Injury,N,,BLACK,MALE,Physical Force,Y
2024052962030,No Injury,N,,BLACK,MALE,Physical Force,Y
2024059962051,No Injury,N,,BLACK,MALE,Physical Force,Y
2024061962028,No Injury,N,,BLACK,MALE,Physical Force,Y
2024065962085,No Injury,N,,BLACK,MALE,Physical Force,Y
2024066962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2024066962050,No Injury,N,,BLACK,MALE,Physical Force,Y
2024066962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2024100962016,No Injury,N,,BLACK,MALE,Physical Force,Y
2024109962042,No Injury,N,,BLACK,MALE,Physical Force,Y
2024131962025,No Injury,N,,BLACK,MALE,Physical Force,Y
2024133962034,No Injury,N,,BLACK,MALE,Physical Force,Y
2024134962053,No Injury,N,,BLACK,MALE,Physical Force,Y
2020020962054,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020020962062,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020024962101,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020024962121,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020028962025,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020028962177,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020029962041,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020032962031,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020032962065,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020033962026,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020033962122,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020033962167,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020037962069,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020038962038,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020042962061,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020043962079,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020044962170,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020045962015,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020045962016,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020047962141,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020049962037,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020051962081,No Injury,N,28,BLACK,MALE,Physical Force,Y
